STATENM,STATECD,COUNTYNM,COUNTYCD,SPGRPCD,SPGRPNM,SPCLASS,UNITCD,RESERVCD,EVALID,'`0003 5.0-6.9','`0004 7.0-8.9','`0005 9.0-10.9','`0006 11.0-12.9','`0007 13.0-14.9','`0008 15.0-16.9','`0009 17.0-18.9','`0010 19.0-20.9','`0011 21.0-22.9','`0012 23.0-24.9','`0013 25.0-26.9','`0014 27.0-28.9','`0015 29.0-30.9','`0016 31.0-32.9','`0017 33.0-34.9','`0018 35.0-36.9','`0019 37.0-38.9','`0020 39.0-40.9','`0021 41.0+'
Georgia,13,Baldwin,9,25,Select white oaks,Hardwood,3,0,132101,4416712.799,5057685.54,,16216652.41,,44470250.02,,78629264.73,,,97305609.2,,,,,,,,
Georgia,13,Covington,9,25,Select white oaks,Hardwood,3,0,132101,4416712.799,5057685.54,,16216652.41,,44470250.02,,78629264.73,,,97305609.2,,,,,,,,
Georgia,13,Baldwin,9,26,Select red oaks,Hardwood,3,0,132101,1850007.387,,,,,,,,72227432.48,,,,,,,,,,
Georgia,13,Covington,9,26,Select red oaks,Hardwood,3,0,132101,1850007.387,,,,,,,,72227432.48,,,,,,,,,,
Georgia,13,Baldwin,9,27,Other white oaks,Hardwood,3,0,132101,3314948.06,5716078.943,,,,,,,,,,,,,,,,,
Georgia,13,Covington,9,27,Other white oaks,Hardwood,3,0,132101,3314948.06,5716078.943,,,,,,,,,,,,,,,,,
Georgia,13,Baldwin,9,28,Other red oaks,Hardwood,3,0,132101,74133307.55,124887364.7,24829604.81,62254309.61,,,40203137.23,65808985.71,,260955068.6,,,,,,,,,
Georgia,13,Covington,9,28,Other red oaks,Hardwood,3,0,132101,74133307.55,124887364.7,24829604.81,62254309.61,,,40203137.23,65808985.71,,260955068.6,,,,,,,,,
Georgia,13,Baldwin,9,29,Hickory,Hardwood,3,0,132101,19841804.21,19990354.4,36233126.11,21651994.88,34052585.13,40548940.22,57398423.34,,,,142273488.2,,,,,,,,
Georgia,13,Covington,9,29,Hickory,Hardwood,3,0,132101,19841804.21,19990354.4,36233126.11,21651994.88,34052585.13,40548940.22,57398423.34,,,,142273488.2,,,,,,,,
