stateAbbr,spclass,species,pwVolume,pwValue,stVolume,stValue
SC,Non-coniferous,sweetgum,33681780767.390614,20783165836.808292,31943085138.361805,245256103366.67758
SC,Non-coniferous,white ash,671024470.4349527,406152323.5802471,699991257.1271492,5390380957.898805
SC,Non-coniferous,white oak,10364654370.948359,6291480453.625251,34970361498.479454,269250418051.31104
SC,Non-coniferous,yellow-poplar,11070815560.443245,6757107408.783248,28716347883.353806,220942912020.15875
SC,Softwood,loblolly pine,1110324044.4367661,509957327.0684915,,
SC,Softwood,longleaf pine,167779570.69035918,82901873.03771341,,
SC,Softwood,shortleaf pine,48975474.71222344,24629606.512988288,,
SC,Softwood,slash pine,89174027.54410583,45945557.13096669,,
TN,Coniferous,Virginia pine,6568510522.069737,2877294178.649526,4042240371.277046,14444833451.26329
TN,Coniferous,baldcypress,233316018.35815015,108477721.95005459,809683840.5935835,3335008745.8595467
TN,Coniferous,eastern redcedar,13153746979.424006,5919298645.989788,3229529403.508764,12388344018.698305
TN,Coniferous,eastern white pine,1352734000.7631242,590870842.7983775,3978207854.791171,14178429823.935606
TN,Coniferous,loblolly pine,19453643027.77947,8851059053.983473,12311764170.964733,49293235222.2525
TN,Coniferous,shortleaf pine,2790918401.2077484,1256183953.5109468,4049555444.39045,15557166563.159897
TN,Non-coniferous,bitternut hickory,2325015497.2290382,1016324144.0726469,4399754872.72292,36880832057.6742
TN,Non-coniferous,black cherry,5200543960.880709,2277257657.9777946,4008156682.579251,33505412115.505432
TN,Non-coniferous,black oak,3666469574.1924376,1599771805.2574801,15074041714.611856,124713098142.48912
TN,Non-coniferous,black walnut,3354630090.434985,1467608458.1661315,5991193790.964548,50600719576.56412
TN,Non-coniferous,blue ash,961735939.216935,420856961.91864073,517758926.0468405,4362366432.202547
TN,Non-coniferous,bur oak,11793817.14703686,5164088.688383719,0.0,0.0
TN,Non-coniferous,butternut,2185264.23720779,947912.994494809,60124984.9861682,510306488.58680665
TN,Non-coniferous,chestnut oak,12933278850.039331,5630324499.955769,45224196094.755615,363783774577.64545
TN,Non-coniferous,cucumbertree,361851164.54603374,157047618.1711365,567756440.3863167,4489233203.897923
TN,Non-coniferous,green ash,3147034725.1961675,1380755632.4600272,4464852708.725915,38694169363.61287
TN,Non-coniferous,mockernut hickory,7580278706.451458,3312600807.075211,9093372791.371199,76013513609.45612
TN,Non-coniferous,overcup oak,15622192.970432408,6904277.002635636,44721105.7092075,407439599.5106893
TN,Non-coniferous,pecan,131810462.08923723,58217097.82069508,629949777.4884771,5715648784.741905
TN,Non-coniferous,pignut hickory,12511547243.185562,5474259190.011222,19902823407.931362,166825422240.35535
TN,Non-coniferous,pin oak,0.0,0.0,143485816.7254733,1230170307.294492
TN,Non-coniferous,shagbark hickory,8533067232.859581,3732856383.657462,11028617485.657898,92556141951.02794
TN,Non-coniferous,shelbark hickory,176678507.15702987,77956796.87368156,499603514.21928227,4453125865.069132
TN,Non-coniferous,southern red oak,4390945559.083984,1927681001.104561,17185863508.145237,147457861246.18976
TN,Non-coniferous,sugar maple,15013655787.92976,6561940123.823643,14626197148.616037,121952304799.26202
TN,Non-coniferous,swamp white oak,35320229.32127038,15609885.724252075,38599194.1936711,351664834.18290627
TN,Non-coniferous,sweetbay,22557781.5806995,9969482.062657585,0.0,0.0
TN,Non-coniferous,sweetgum,11659690080.71525,5128616140.456189,13506042759.615839,118814228131.71188
TN,Non-coniferous,white ash,4323702415.56057,1892905221.9807167,6088240510.357649,51187494517.87506
TN,Non-coniferous,white oak,18265716097.295425,7987861965.263583,51468300220.74894,435654557800.84406
TN,Non-coniferous,yellow-poplar,18893877800.950905,8254559769.978083,56345842939.728325,469674346454.4955
TN,Softwood,loblolly pine,219878288.45678034,78447327.80239224,,
TN,Softwood,shortleaf pine,54080445.62250204,16997285.253550462,,
VA,Coniferous,Virginia pine,29709034978.862167,18746082060.797318,10202359511.949654,47971990135.591515
VA,Coniferous,baldcypress,138869295.55951238,91916231.90844552,497837155.6767707,2543067543.708626
VA,Coniferous,eastern redcedar,5058066958.058699,3170063390.747482,1496330304.0953238,6912812105.050972
VA,Coniferous,eastern white pine,6329026402.514391,3862354819.9105706,13982114544.283182,62335419355.49756
VA,Coniferous,loblolly pine,137473930218.8324,88382801232.08441,94055062287.55515,462664582302.71173
VA,Coniferous,longleaf pine,2731599.63179471,1808019.1465324133,0.0,0.0
VA,Coniferous,shortleaf pine,5703402409.39963,3612927366.057243,6680003165.197785,31520881263.147697
VA,Non-coniferous,bitternut hickory,2135533281.1526983,777319696.811558,3369686987.2554173,25709303379.414448
VA,Non-coniferous,black cherry,6616638655.229484,2411530524.3018494,4386230073.029195,33481599753.071064
VA,Non-coniferous,black oak,7721342682.540986,2826189652.5343137,25495840056.096455,194601584657.85275
