stateAbbr,statecd,unitcd,priceRegion,spcd,spname,spgrpcd,spclass,Product,size_class_code,size_class_range,cuftPrice,value
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,270124150.34584457
AL,01,01,02,611,sweetgum,34,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,250222427.89420033
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,2959705709.3736186
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,3550021611.4610553
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,1881567511.995865
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,1373969777.6502538
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,1080450902.2182705
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0014,27.0-28.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0015,29.0-30.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0016,31.0-32.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0017,33.0-34.9,8.860184375,0.0
AL,01,01,02,611,sweetgum,34,Non-coniferous,Sawtimber,0018,35.0-36.9,8.860184375,0.0
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0003,5.0-6.9,0.811253125,114372123.3646768
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0004,7.0-8.9,0.811253125,222100196.6459982
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0005,9.0-10.9,0.811253125,317598941.5323063
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Pulpwood,0006,11.0-12.9,0.811253125,394986719.6039243
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0007,13.0-14.9,8.860184375,4331356200.072395
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0008,15.0-16.9,8.860184375,3816148480.592043
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0009,17.0-18.9,8.860184375,1459088587.718331
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0010,19.0-20.9,8.860184375,2221996749.6473694
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0011,21.0-22.9,8.860184375,1077943045.6420214
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0012,23.0-24.9,8.860184375,2110713608.1036313
AL,01,01,02,621,yellow-poplar,39,Non-coniferous,Sawtimber,0013,25.0-26.9,8.860184375,1752225864.1829216
